transaction_id,items
1,"Detergente, Sabonete, Macarrão"
2,"Maçã, Laranja, Pão, Cenoura, Refrigerante, Peixe, Óleo"
3,"Detergente, Açúcar"
4,"Frango, Chocolate, Refrigerante, Cebola, Leite, Tomate"
5,"Banana, Frango, Queijo"
6,"Arroz, Pão, Refrigerante, Detergente"
7,"Suco, Laranja, Maçã, Óleo, Carne Bovina"
8,"Queijo, Arroz, Ovos, Feijão, Peixe, Batata"
9,"Refrigerante, Peixe, Açúcar, Biscoito, Sal"
10,"Manteiga, Presunto"
11,"Laranja, Queijo, Chocolate, Óleo, Peixe"
12,"Ovos, Carne Bovina, Laranja, Café"
13,"Café, Batata, Arroz, Refrigerante"
14,"Arroz, Biscoito, Sal, Queijo, Frango, Laranja"
15,"Alface, Sal, Laranja, Batata, Carne Bovina, Feijão, Frango"
16,"Manteiga, Café, Maçã, Queijo, Sal, Frango"
17,"Manteiga, Maçã, Leite, Peixe, Ovos, Cenoura"
18,"Sabonete, Cenoura, Cebola, Chocolate, Refrigerante, Leite"
19,"Refrigerante, Chocolate, Frango, Óleo, Laranja, Sabonete, Maçã"
20,"Chocolate, Açúcar, Sal, Queijo, Ovos"
21,"Alface, Leite"
22,"Biscoito, Arroz, Macarrão, Chocolate, Cenoura, Presunto, Cebola"
23,"Óleo, Biscoito, Carne Bovina"
24,"Maçã, Ovos, Arroz, Suco, Manteiga, Alface, Batata"
25,"Café, Queijo, Cebola, Pão, Óleo, Manteiga"
26,"Leite, Batata, Banana, Detergente, Óleo"
27,"Óleo, Chocolate, Suco, Café, Sal"
28,"Pão, Arroz, Detergente, Chocolate, Refrigerante, Presunto"
29,"Pão, Tomate"
30,"Óleo, Queijo, Arroz, Cebola, Suco"
31,"Manteiga, Cenoura, Batata, Laranja, Frango, Café, Banana"
32,"Queijo, Banana, Ovos, Cebola, Cenoura"
33,"Presunto, Maçã, Cenoura, Cebola, Banana, Macarrão"
34,"Alface, Suco, Maçã, Laranja, Queijo, Banana, Frango"
35,"Leite, Ovos"
36,"Banana, Sal, Feijão, Açúcar, Laranja, Alface"
37,"Pão, Suco, Peixe, Cenoura, Óleo, Frango"
38,"Batata, Cenoura, Óleo, Chocolate, Refrigerante"
39,"Tomate, Óleo, Sabonete, Banana, Carne Bovina"
40,"Biscoito, Laranja, Óleo, Cenoura"
41,"Sal, Cebola, Presunto, Carne Bovina, Biscoito"
42,"Arroz, Detergente, Batata, Chocolate, Banana, Óleo"
43,"Feijão, Óleo, Maçã"
44,"Detergente, Macarrão, Tomate, Óleo, Frango, Presunto, Chocolate"
45,"Queijo, Feijão, Chocolate, Cebola, Alface, Pão"
46,"Chocolate, Carne Bovina"
47,"Arroz, Ovos, Detergente, Açúcar, Pão"
48,"Laranja, Arroz"
49,"Batata, Laranja, Feijão, Sabonete"
50,"Presunto, Suco"
51,"Batata, Pão, Óleo, Maçã, Frango, Feijão, Presunto"
52,"Café, Cenoura, Banana, Alface, Sal, Tomate"
53,"Suco, Feijão, Refrigerante, Arroz"
54,"Arroz, Tomate"
55,"Cenoura, Presunto"
56,"Laranja, Macarrão, Banana, Presunto"
57,"Carne Bovina, Chocolate, Alface, Macarrão, Banana, Suco, Biscoito"
58,"Maçã, Cebola, Arroz, Óleo, Detergente"
59,"Frango, Macarrão, Biscoito, Sabonete"
60,"Macarrão, Chocolate, Alface, Biscoito, Laranja, Ovos"
61,"Suco, Carne Bovina, Cenoura, Sal, Queijo, Tomate, Frango"
62,"Manteiga, Sal"
63,"Alface, Feijão"
64,"Laranja, Detergente, Ovos"
65,"Leite, Presunto, Banana"
66,"Macarrão, Refrigerante, Frango, Açúcar, Feijão, Maçã"
67,"Pão, Alface"
68,"Cenoura, Ovos, Óleo, Pão, Sabonete"
69,"Alface, Óleo"
70,"Chocolate, Pão, Suco, Laranja, Peixe, Detergente, Batata"
71,"Frango, Pão, Banana, Tomate"
72,"Açúcar, Biscoito, Frango"
73,"Sabonete, Cebola, Alface, Maçã, Feijão, Sal, Queijo"
74,"Óleo, Manteiga, Macarrão, Presunto, Frango, Biscoito, Carne Bovina"
75,"Leite, Alface, Biscoito, Açúcar, Pão"
76,"Tomate, Banana, Pão"
77,"Manteiga, Detergente"
78,"Óleo, Queijo, Tomate"
79,"Batata, Peixe, Chocolate, Alface, Maçã"
80,"Peixe, Detergente"
81,"Banana, Presunto, Maçã, Frango, Tomate, Peixe, Ovos"
82,"Biscoito, Frango, Banana, Manteiga, Açúcar"
83,"Refrigerante, Peixe, Sabonete, Maçã"
84,"Presunto, Manteiga, Frango"
85,"Macarrão, Pão, Banana, Laranja, Feijão, Chocolate"
86,"Presunto, Peixe, Batata"
87,"Laranja, Batata"
88,"Sal, Cebola, Banana, Chocolate"
89,"Açúcar, Manteiga, Batata, Biscoito, Leite, Arroz, Tomate"
90,"Arroz, Batata, Ovos, Cebola"
91,"Biscoito, Carne Bovina, Maçã, Café, Queijo, Arroz"
92,"Laranja, Banana, Maçã, Chocolate, Detergente, Pão, Arroz"
93,"Suco, Ovos, Queijo, Refrigerante, Laranja, Cenoura"
94,"Feijão, Alface"
95,"Banana, Sabonete"
96,"Pão, Banana, Chocolate, Maçã, Laranja, Suco, Presunto"
97,"Carne Bovina, Chocolate, Ovos, Sal, Maçã"
98,"Tomate, Maçã, Sal, Macarrão, Manteiga"
99,"Café, Banana"
100,"Detergente, Peixe, Ovos, Pão, Tomate, Macarrão, Café"
101,"Frango, Arroz, Leite, Tomate"
102,"Ovos, Banana, Batata, Açúcar"
103,"Laranja, Carne Bovina, Detergente, Maçã, Cenoura, Chocolate, Presunto"
104,"Ovos, Refrigerante, Cenoura, Frango, Cebola, Batata"
105,"Banana, Cebola, Manteiga, Detergente, Cenoura, Maçã, Frango"
106,"Carne Bovina, Macarrão, Queijo, Cebola, Cenoura"
107,"Peixe, Pão, Carne Bovina, Cebola, Macarrão"
108,"Refrigerante, Detergente, Óleo, Frango, Banana, Açúcar, Presunto"
109,"Açúcar, Carne Bovina, Chocolate, Sal, Macarrão"
110,"Laranja, Leite, Arroz, Açúcar, Suco"
111,"Tomate, Café, Queijo, Frango"
112,"Laranja, Cebola"
113,"Laranja, Carne Bovina, Cebola, Detergente, Pão"
114,"Pão, Carne Bovina, Açúcar, Sabonete, Arroz"
115,"Óleo, Pão, Ovos"
116,"Queijo, Pão, Alface"
117,"Laranja, Manteiga, Banana, Cenoura, Peixe, Sal, Presunto"
118,"Arroz, Feijão, Pão"
119,"Alface, Carne Bovina"
120,"Óleo, Açúcar, Peixe, Presunto, Sabonete, Cebola"
121,"Tomate, Biscoito, Arroz, Macarrão, Banana"
122,"Presunto, Peixe, Cebola, Chocolate"
123,"Sabonete, Carne Bovina, Café, Frango, Banana, Detergente"
124,"Banana, Batata, Sal, Cenoura, Frango"
125,"Suco, Batata, Banana, Sabonete, Alface, Refrigerante, Macarrão"
126,"Banana, Cebola, Sabonete, Chocolate, Laranja, Leite"
127,"Banana, Óleo, Frango"
128,"Peixe, Maçã, Queijo"
129,"Presunto, Alface, Leite, Biscoito"
130,"Ovos, Macarrão"
131,"Presunto, Feijão"
132,"Ovos, Chocolate"
133,"Biscoito, Ovos, Pão, Manteiga"
134,"Laranja, Banana, Cebola, Tomate"
135,"Tomate, Alface"
136,"Laranja, Frango"
137,"Queijo, Detergente, Presunto, Cebola, Sal"
138,"Laranja, Cebola, Queijo, Maçã, Pão, Suco, Biscoito"
139,"Biscoito, Laranja, Leite, Peixe, Alface, Sal"
140,"Banana, Açúcar, Laranja, Óleo, Leite, Cenoura"
141,"Cebola, Carne Bovina, Pão, Café, Macarrão, Peixe, Manteiga"
142,"Ovos, Peixe, Banana, Tomate, Batata, Leite, Manteiga"
143,"Arroz, Pão"
144,"Arroz, Maçã, Leite, Óleo, Pão"
145,"Sabonete, Arroz, Alface, Laranja, Leite, Batata"
146,"Arroz, Macarrão, Açúcar"
147,"Detergente, Biscoito, Açúcar"
148,"Presunto, Frango, Carne Bovina, Feijão, Alface, Sabonete, Tomate"
149,"Açúcar, Feijão, Pão, Ovos, Queijo"
150,"Sabonete, Pão, Leite"
151,"Detergente, Arroz, Ovos, Presunto, Cenoura, Biscoito, Cebola"
152,"Carne Bovina, Sabonete, Maçã, Feijão"
153,"Biscoito, Batata"
154,"Sabonete, Peixe, Carne Bovina, Cenoura"
155,"Manteiga, Cenoura, Tomate, Leite, Batata"
156,"Sal, Batata"
157,"Banana, Biscoito, Alface, Manteiga, Batata, Cebola"
158,"Queijo, Suco, Leite, Laranja"
159,"Chocolate, Laranja, Refrigerante, Café, Açúcar, Presunto"
160,"Manteiga, Detergente"
161,"Detergente, Café, Presunto, Manteiga, Açúcar"
162,"Pão, Óleo, Frango, Açúcar, Sabonete, Peixe, Laranja"
163,"Carne Bovina, Ovos, Refrigerante"
164,"Batata, Óleo, Café, Laranja"
165,"Cebola, Alface, Frango, Sal"
166,"Batata, Maçã"
167,"Tomate, Queijo, Laranja, Manteiga, Leite"
168,"Refrigerante, Maçã"
169,"Óleo, Laranja"
170,"Manteiga, Queijo, Sal, Alface, Leite, Refrigerante, Ovos"
171,"Tomate, Café, Macarrão, Detergente, Biscoito"
172,"Café, Cebola, Feijão, Cenoura, Detergente, Frango"
173,"Açúcar, Feijão, Suco, Laranja, Chocolate, Cebola"
174,"Tomate, Presunto, Frango, Refrigerante"
175,"Refrigerante, Maçã, Arroz, Suco, Frango"
176,"Pão, Biscoito, Sal, Feijão"
177,"Suco, Feijão, Ovos"
178,"Sabonete, Leite, Detergente, Alface, Ovos, Suco, Chocolate"
179,"Cenoura, Óleo, Café"
180,"Pão, Alface, Queijo, Café, Maçã"
181,"Alface, Refrigerante"
182,"Detergente, Feijão, Sabonete"
183,"Açúcar, Carne Bovina, Alface, Detergente, Leite"
184,"Cebola, Feijão, Peixe"
185,"Arroz, Detergente"
186,"Refrigerante, Chocolate"
187,"Tomate, Café, Presunto, Leite"
188,"Refrigerante, Arroz"
189,"Tomate, Carne Bovina, Pão, Açúcar, Presunto, Sabonete, Leite"
190,"Pão, Laranja"
191,"Alface, Cenoura, Refrigerante"
192,"Ovos, Biscoito, Cenoura"
193,"Presunto, Banana, Manteiga"
194,"Refrigerante, Alface, Café, Ovos"
195,"Arroz, Pão"
196,"Feijão, Chocolate, Sal, Batata, Sabonete, Banana, Queijo"
197,"Sal, Açúcar, Queijo"
198,"Cenoura, Tomate, Sabonete, Detergente, Maçã"
199,"Frango, Manteiga, Batata, Arroz"
200,"Maçã, Leite, Carne Bovina, Biscoito"
201,"Ovos, Banana, Sabonete, Presunto, Peixe, Suco, Óleo"
202,"Banana, Tomate, Detergente, Peixe, Laranja"
203,"Macarrão, Refrigerante"
204,"Alface, Carne Bovina, Feijão"
205,"Cebola, Biscoito, Refrigerante"
206,"Biscoito, Ovos, Frango, Cenoura"
207,"Carne Bovina, Óleo, Feijão, Cebola, Batata"
208,"Biscoito, Cenoura, Café, Batata"
209,"Leite, Frango"
210,"Banana, Tomate, Manteiga, Leite"
211,"Sal, Peixe, Presunto, Batata, Biscoito, Detergente, Cebola"
212,"Arroz, Óleo, Leite, Laranja, Tomate, Chocolate, Feijão"
213,"Ovos, Queijo, Frango, Manteiga, Cenoura, Leite"
214,"Peixe, Leite, Carne Bovina, Café"
215,"Detergente, Ovos, Óleo, Carne Bovina, Batata, Pão"
216,"Manteiga, Frango, Refrigerante, Carne Bovina, Cenoura"
217,"Leite, Tomate"
218,"Refrigerante, Cebola, Presunto, Café, Sabonete, Leite, Suco"
219,"Carne Bovina, Açúcar"
220,"Banana, Leite, Laranja, Cebola"
221,"Cebola, Cenoura, Frango, Pão"
222,"Arroz, Frango, Alface, Chocolate, Cebola, Batata"
223,"Carne Bovina, Sabonete, Óleo"
224,"Banana, Chocolate, Pão, Carne Bovina, Cebola, Detergente, Arroz"
225,"Óleo, Sal, Feijão, Banana, Refrigerante, Cenoura"
226,"Manteiga, Queijo, Sal, Biscoito, Ovos, Carne Bovina, Banana"
227,"Sal, Arroz, Feijão"
228,"Biscoito, Alface, Suco, Macarrão, Cenoura, Arroz, Chocolate"
229,"Batata, Biscoito, Óleo"
230,"Chocolate, Banana, Carne Bovina"
231,"Macarrão, Alface, Frango, Carne Bovina, Leite, Maçã, Chocolate"
232,"Feijão, Ovos, Sabonete, Macarrão"
233,"Tomate, Chocolate"
234,"Café, Alface, Refrigerante, Cebola"
235,"Feijão, Arroz, Suco, Manteiga, Banana, Ovos, Queijo"
236,"Peixe, Cenoura, Arroz, Maçã, Manteiga, Feijão"
237,"Banana, Cenoura, Leite, Macarrão, Presunto, Detergente, Cebola"
238,"Maçã, Banana"
239,"Café, Manteiga, Laranja, Peixe, Suco, Maçã"
240,"Batata, Queijo, Carne Bovina, Alface"
241,"Cenoura, Ovos, Macarrão, Sal"
242,"Café, Biscoito, Óleo, Tomate"
243,"Cenoura, Ovos"
244,"Laranja, Suco"
245,"Batata, Laranja, Macarrão, Presunto, Frango, Sabonete"
246,"Biscoito, Açúcar, Arroz, Batata"
247,"Manteiga, Cebola, Cenoura, Queijo"
248,"Biscoito, Arroz, Café"
249,"Sabonete, Cebola, Refrigerante"
250,"Frango, Batata, Manteiga, Laranja"
251,"Feijão, Frango, Sabonete, Café, Leite"
252,"Suco, Sal, Frango, Óleo, Presunto"
253,"Sabonete, Chocolate"
254,"Carne Bovina, Batata, Sal"
255,"Alface, Café, Óleo, Pão, Feijão, Sal"
256,"Biscoito, Arroz, Maçã, Sal, Pão"
257,"Açúcar, Queijo"
258,"Batata, Detergente"
259,"Tomate, Banana"
260,"Detergente, Presunto, Açúcar, Pão, Carne Bovina, Arroz"
261,"Chocolate, Frango, Presunto, Feijão"
262,"Pão, Óleo, Alface"
263,"Batata, Sabonete, Açúcar, Ovos"
264,"Manteiga, Chocolate, Queijo, Óleo, Suco, Macarrão"
265,"Tomate, Arroz, Manteiga, Leite, Feijão"
266,"Café, Detergente"
267,"Peixe, Ovos, Maçã"
268,"Arroz, Banana, Tomate, Carne Bovina, Pão, Biscoito"
269,"Cenoura, Suco, Batata, Leite, Alface, Carne Bovina, Detergente"
270,"Detergente, Cebola, Sabonete, Alface, Ovos, Batata"
271,"Maçã, Chocolate, Suco, Batata, Biscoito, Frango, Refrigerante"
272,"Feijão, Peixe"
273,"Manteiga, Banana, Tomate, Detergente"
274,"Carne Bovina, Banana"
275,"Cenoura, Batata, Café"
276,"Feijão, Sabonete, Ovos, Macarrão, Biscoito, Maçã, Cenoura"
277,"Suco, Detergente, Tomate, Laranja, Chocolate, Arroz"
278,"Óleo, Maçã"
279,"Cenoura, Ovos"
280,"Laranja, Manteiga, Sal"
281,"Leite, Suco, Feijão, Cebola, Frango, Sal, Café"
282,"Arroz, Detergente, Tomate, Manteiga, Óleo, Chocolate"
283,"Biscoito, Feijão, Batata, Cenoura, Ovos, Laranja"
284,"Açúcar, Suco"
285,"Frango, Banana, Alface, Tomate, Detergente, Peixe, Maçã"
286,"Laranja, Peixe"
287,"Pão, Macarrão, Maçã, Cenoura, Café, Arroz"
288,"Alface, Açúcar, Peixe, Chocolate, Frango"
289,"Batata, Sabonete, Chocolate, Laranja, Óleo, Pão, Macarrão"
290,"Detergente, Macarrão, Frango, Cenoura, Pão"
291,"Óleo, Leite, Açúcar"
292,"Presunto, Detergente, Óleo, Sal, Cebola"
293,"Feijão, Ovos, Frango, Pão"
294,"Ovos, Peixe, Refrigerante, Presunto, Pão, Alface, Arroz"
295,"Detergente, Óleo, Sabonete, Alface"
296,"Feijão, Frango"
297,"Detergente, Manteiga, Feijão, Café"
298,"Refrigerante, Pão, Carne Bovina, Sal, Alface"
299,"Peixe, Laranja"
300,"Leite, Alface, Queijo, Arroz, Chocolate, Tomate, Maçã"
301,"Detergente, Sabonete, Arroz"
302,"Macarrão, Queijo, Óleo"
303,"Café, Feijão, Chocolate, Alface, Laranja, Suco"
304,"Tomate, Pão"
305,"Macarrão, Maçã, Carne Bovina"
306,"Açúcar, Queijo, Chocolate, Pão"
307,"Açúcar, Queijo, Presunto, Óleo, Batata"
308,"Leite, Peixe, Queijo, Cebola"
309,"Cebola, Açúcar, Manteiga"
310,"Chocolate, Feijão, Suco, Banana, Maçã"
311,"Cenoura, Óleo, Refrigerante, Frango"
312,"Alface, Laranja, Arroz, Queijo, Óleo, Carne Bovina"
313,"Queijo, Macarrão, Açúcar, Arroz, Refrigerante, Frango, Biscoito"
314,"Sabonete, Pão, Alface, Manteiga, Ovos, Banana, Cenoura"
315,"Cenoura, Laranja, Sal, Biscoito, Presunto, Peixe, Detergente"
316,"Açúcar, Óleo, Detergente, Cebola, Sal"
317,"Cebola, Ovos"
318,"Presunto, Macarrão, Peixe"
319,"Sal, Manteiga, Café, Suco, Feijão"
320,"Alface, Batata, Peixe, Óleo"
321,"Banana, Cenoura"
322,"Sabonete, Maçã, Pão, Queijo, Sal"
323,"Queijo, Açúcar, Carne Bovina, Manteiga"
324,"Maçã, Cenoura"
325,"Sal, Arroz, Maçã, Laranja, Frango, Pão, Óleo"
326,"Biscoito, Sal"
327,"Alface, Chocolate, Queijo, Suco"
328,"Batata, Café, Alface, Açúcar, Feijão, Sabonete"
329,"Cenoura, Leite, Açúcar, Manteiga, Sabonete"
330,"Cenoura, Arroz, Óleo, Alface"
331,"Ovos, Chocolate, Leite, Frango, Banana, Suco"
332,"Sabonete, Biscoito, Carne Bovina, Pão, Presunto, Maçã"
333,"Arroz, Maçã, Peixe, Banana, Café"
334,"Frango, Tomate, Café, Detergente, Pão"
335,"Café, Óleo, Feijão, Frango, Biscoito, Açúcar, Detergente"
336,"Chocolate, Pão"
337,"Frango, Batata, Feijão, Refrigerante"
338,"Batata, Pão"
339,"Maçã, Café"
340,"Maçã, Suco, Cebola, Leite, Banana, Peixe, Sabonete"
341,"Laranja, Refrigerante, Manteiga, Maçã, Arroz"
342,"Alface, Macarrão, Chocolate, Café"
343,"Queijo, Leite, Maçã, Laranja"
344,"Detergente, Maçã, Leite, Peixe, Manteiga, Macarrão"
345,"Sal, Óleo, Pão, Café"
346,"Arroz, Suco, Macarrão, Refrigerante, Sal"
347,"Laranja, Banana"
348,"Suco, Refrigerante, Laranja, Batata, Frango, Cebola, Ovos"
349,"Refrigerante, Ovos"
350,"Óleo, Queijo, Refrigerante, Cenoura, Peixe, Maçã, Chocolate"
351,"Carne Bovina, Presunto, Arroz, Batata"
352,"Presunto, Feijão"
353,"Suco, Carne Bovina, Cebola"
354,"Feijão, Arroz"
355,"Frango, Peixe, Sal, Alface, Leite"
356,"Café, Macarrão, Queijo, Laranja, Peixe, Cebola"
357,"Refrigerante, Alface, Peixe"
358,"Maçã, Feijão, Sabonete"
359,"Feijão, Sabonete, Leite"
360,"Café, Maçã, Óleo, Chocolate, Banana, Leite, Alface"
361,"Manteiga, Macarrão, Pão"
362,"Detergente, Banana, Laranja"
363,"Leite, Sal, Detergente, Suco, Presunto"
364,"Sal, Sabonete"
365,"Cebola, Arroz, Feijão, Biscoito, Sal, Detergente"
366,"Sal, Laranja, Suco, Manteiga, Biscoito, Açúcar, Batata"
367,"Chocolate, Cebola, Manteiga"
368,"Sal, Manteiga, Alface, Leite, Banana, Chocolate, Peixe"
369,"Cenoura, Laranja"
370,"Cebola, Maçã, Feijão"
371,"Banana, Alface"
372,"Leite, Maçã"
373,"Carne Bovina, Peixe, Açúcar, Tomate"
374,"Leite, Carne Bovina, Refrigerante, Manteiga"
375,"Feijão, Banana, Frango"
376,"Ovos, Chocolate, Biscoito, Presunto, Maçã, Manteiga, Carne Bovina"
377,"Detergente, Maçã"
378,"Suco, Chocolate, Feijão, Carne Bovina"
379,"Sabonete, Feijão, Suco"
380,"Cebola, Batata, Óleo, Presunto, Suco, Pão, Sal"
381,"Detergente, Óleo, Arroz"
382,"Alface, Cenoura, Leite, Peixe, Chocolate, Óleo, Presunto"
383,"Chocolate, Sal, Cebola"
384,"Sal, Refrigerante, Biscoito, Chocolate, Café, Maçã"
385,"Laranja, Frango, Cenoura, Manteiga, Queijo, Arroz, Chocolate"
386,"Ovos, Feijão, Frango, Açúcar, Macarrão"
387,"Feijão, Batata, Biscoito, Tomate, Carne Bovina, Banana"
388,"Cebola, Feijão"
389,"Banana, Leite, Presunto"
390,"Pão, Sal, Detergente, Suco, Tomate, Leite"
391,"Banana, Maçã, Tomate, Sal"
392,"Presunto, Biscoito, Óleo"
393,"Cenoura, Ovos, Leite, Queijo"
394,"Cenoura, Macarrão, Leite, Carne Bovina, Cebola"
395,"Refrigerante, Pão, Café"
396,"Sal, Leite, Alface"
397,"Alface, Biscoito, Refrigerante, Sal"
398,"Banana, Feijão, Cebola, Pão, Macarrão, Laranja, Ovos"
399,"Feijão, Sal, Tomate, Macarrão, Sabonete"
400,"Leite, Banana, Ovos, Sabonete, Açúcar, Detergente"
401,"Leite, Óleo, Pão"
402,"Banana, Macarrão, Açúcar, Queijo, Cenoura"
403,"Maçã, Leite, Sabonete, Frango, Pão, Feijão, Cebola"
404,"Chocolate, Feijão"
405,"Tomate, Detergente, Carne Bovina"
406,"Leite, Ovos, Sal"
407,"Banana, Batata, Alface"
408,"Suco, Banana"
409,"Presunto, Macarrão, Óleo, Peixe, Pão, Tomate"
410,"Refrigerante, Cebola, Cenoura, Manteiga, Sabonete, Ovos"
411,"Cenoura, Presunto, Cebola, Frango, Biscoito, Ovos"
412,"Café, Banana, Cebola, Frango, Manteiga, Feijão"
413,"Peixe, Cenoura, Carne Bovina, Queijo, Ovos"
414,"Suco, Alface, Carne Bovina, Batata, Café"
415,"Macarrão, Açúcar, Presunto"
416,"Manteiga, Banana, Cebola, Macarrão, Açúcar, Queijo"
417,"Queijo, Manteiga, Óleo, Alface, Suco"
418,"Chocolate, Arroz"
419,"Frango, Sabonete, Batata, Sal, Tomate"
420,"Macarrão, Manteiga, Pão, Presunto, Sabonete, Batata"
421,"Cebola, Sal, Óleo"
422,"Peixe, Café, Óleo, Feijão, Arroz, Leite, Cenoura"
423,"Ovos, Manteiga, Café, Óleo, Pão, Queijo, Maçã"
424,"Macarrão, Arroz, Sabonete, Batata, Carne Bovina"
425,"Cenoura, Queijo, Sal"
426,"Arroz, Biscoito"
427,"Leite, Óleo, Banana, Cebola, Sabonete, Suco, Macarrão"
428,"Óleo, Peixe"
429,"Batata, Óleo, Macarrão, Sal, Ovos, Alface"
430,"Refrigerante, Açúcar"
431,"Chocolate, Café, Peixe"
432,"Banana, Maçã, Sabonete"
433,"Carne Bovina, Batata, Feijão, Leite, Sal"
434,"Macarrão, Batata, Carne Bovina, Laranja, Café"
435,"Café, Arroz"
436,"Chocolate, Maçã, Queijo, Sabonete"
437,"Frango, Batata, Cenoura, Café"
438,"Carne Bovina, Maçã, Óleo, Sabonete"
439,"Carne Bovina, Ovos, Frango"
440,"Presunto, Refrigerante, Tomate, Biscoito, Macarrão, Cenoura"
441,"Manteiga, Sal, Tomate, Detergente, Suco"
442,"Laranja, Cebola, Refrigerante"
443,"Banana, Açúcar, Peixe, Chocolate, Queijo"
444,"Sal, Refrigerante, Café, Laranja"
445,"Feijão, Sal"
446,"Suco, Ovos, Leite, Carne Bovina, Detergente"
447,"Queijo, Laranja, Manteiga, Maçã, Macarrão"
448,"Batata, Sabonete"
449,"Arroz, Biscoito, Laranja, Detergente, Sabonete, Queijo, Tomate"
450,"Queijo, Manteiga, Arroz, Sabonete, Carne Bovina"
451,"Queijo, Biscoito, Laranja, Açúcar, Detergente, Peixe"
452,"Carne Bovina, Laranja, Feijão"
453,"Biscoito, Maçã"
454,"Cebola, Maçã"
455,"Maçã, Leite"
456,"Macarrão, Frango, Queijo, Chocolate, Banana, Cebola"
457,"Chocolate, Maçã, Macarrão"
458,"Sabonete, Açúcar, Tomate, Arroz, Cebola, Alface, Peixe"
459,"Cenoura, Alface"
460,"Leite, Presunto, Detergente"
461,"Pão, Laranja"
462,"Queijo, Feijão"
463,"Maçã, Leite, Laranja"
464,"Queijo, Peixe, Óleo, Frango, Biscoito, Maçã, Cenoura"
465,"Cenoura, Suco"
466,"Carne Bovina, Arroz, Tomate, Batata, Alface, Cenoura"
467,"Maçã, Batata, Leite"
468,"Café, Alface, Batata, Cebola, Leite, Feijão"
469,"Açúcar, Peixe, Sal, Ovos"
470,"Feijão, Sal, Alface"
471,"Batata, Leite"
472,"Laranja, Carne Bovina, Café"
473,"Presunto, Chocolate, Tomate"
474,"Manteiga, Refrigerante, Açúcar, Batata, Banana, Cebola, Queijo"
475,"Alface, Feijão, Suco, Café, Presunto, Peixe"
476,"Refrigerante, Manteiga, Laranja, Açúcar, Feijão, Sabonete, Queijo"
477,"Pão, Alface, Arroz, Sabonete, Cebola, Cenoura, Presunto"
478,"Detergente, Queijo, Manteiga"
479,"Chocolate, Frango, Batata, Pão, Tomate, Presunto"
480,"Alface, Frango, Detergente, Laranja, Feijão, Suco"
481,"Sabonete, Cebola, Cenoura, Alface, Pão, Tomate, Frango"
482,"Café, Queijo, Chocolate, Frango, Refrigerante, Batata, Presunto"
483,"Sal, Maçã, Manteiga, Laranja, Óleo"
484,"Café, Leite, Feijão, Peixe, Óleo, Manteiga, Alface"
485,"Café, Arroz, Óleo"
486,"Chocolate, Laranja, Feijão, Leite, Sabonete, Refrigerante"
487,"Detergente, Sal, Pão"
488,"Banana, Óleo"
489,"Detergente, Cenoura, Feijão, Chocolate, Leite"
490,"Maçã, Ovos, Sabonete, Carne Bovina, Chocolate, Laranja, Feijão"
491,"Ovos, Feijão, Frango, Pão, Alface, Cebola"
492,"Cebola, Manteiga, Açúcar, Chocolate"
493,"Frango, Biscoito, Ovos, Café"
494,"Biscoito, Suco"
495,"Arroz, Ovos"
496,"Café, Óleo"
497,"Biscoito, Pão, Ovos, Suco, Maçã, Arroz, Batata"
498,"Maçã, Café, Pão, Presunto, Cenoura, Arroz"
499,"Queijo, Açúcar, Ovos, Refrigerante, Tomate, Macarrão, Laranja"
500,"Óleo, Chocolate"
